item_id,name,value
250,Source,"De Bewegende Stad, De Amsterdamse Beweeglogica (2016)"
251,Theme,3. Netwerken & Profielen
251,Area,Heel Amsterdam
251,Type,Uitgangspunt
251,Level,Tactisch Niveau
251,Source,"De Bewegende Stad, De Amsterdamse Beweeglogica (2016)"
252,Theme,12. Groen
252,Theme,16. Ondergrond
252,Area,Heel Amsterdam
252,Type,Uitgangspunt
252,Level,Operationeel Niveau
252,Source,"De Bewegende Stad, De Amsterdamse Beweeglogica (2016)"
253,Theme,13. Sport & Spel
253,Theme,13. Sport & Spel
253,Area,Heel Amsterdam
253,Type,Uitgangspunt
253,Level,Proces
253,Source,"De Bewegende Stad, De Amsterdamse Beweeglogica (2016)"
254,Theme,1. Openbare Ruimte Algemeen
254,Area,Heel Amsterdam
254,Type,Advies
254,Level,Strategisch Niveau
254,Source,De Amsterdamse Gezondheidslogica (2021)
255,Theme,12. Groen
255,Area,Heel Amsterdam
255,Type,Advies
255,Level,Tactisch Niveau
255,Source,De Amsterdamse Gezondheidslogica (2021)
256,Theme,1. Openbare Ruimte Algemeen
256,Area,Heel Amsterdam
256,Type,Advies
256,Level,Tactisch Niveau
256,Source,De Amsterdamse Gezondheidslogica (2021)
257,Theme,1. Openbare Ruimte Algemeen
257,Area,Heel Amsterdam
257,Type,Advies
257,Level,Tactisch Niveau
257,Source,De Amsterdamse Gezondheidslogica (2021)
258,Theme,1. Openbare Ruimte Algemeen
258,Area,Heel Amsterdam
258,Type,Advies
258,Level,Tactisch Niveau
258,Source,De Amsterdamse Gezondheidslogica (2021)
259,Theme,1. Openbare Ruimte Algemeen
259,Area,Heel Amsterdam
259,Type,Advies
259,Level,Tactisch Niveau
259,Source,De Amsterdamse Gezondheidslogica (2021)
260,Theme,1. Openbare Ruimte Algemeen
260,Area,Heel Amsterdam
260,Type,Advies
260,Level,Tactisch Niveau
260,Source,De Amsterdamse Gezondheidslogica (2021)
261,Theme,1. Openbare Ruimte Algemeen
261,Theme,3. Netwerken & Profielen
261,Area,Heel Amsterdam
261,Type,Advies
261,Level,Tactisch Niveau
261,Source,De Amsterdamse Gezondheidslogica (2021)
262,Theme,1. Openbare Ruimte Algemeen
262,Area,Heel Amsterdam
262,Type,Advies
262,Level,Tactisch Niveau
262,Source,De Amsterdamse Gezondheidslogica (2021)
263,Theme,1. Openbare Ruimte Algemeen
263,Area,Heel Amsterdam
263,Type,Advies
263,Level,Tactisch Niveau
263,Source,De Amsterdamse Gezondheidslogica (2021)
264,Theme,12. Groen
264,Area,Heel Amsterdam
264,Type,Randvoorwaarde
264,Level,Operationeel Niveau
264,Source,Bomenverordening (2014)
265,Theme,12. Groen
265,Area,Heel Amsterdam
265,Type,Randvoorwaarde
265,Level,Operationeel Niveau
265,Source,Bomenverordening (2014)
266,Theme,12. Groen
266,Area,Heel Amsterdam
266,Type,Uitgangspunt
